AUTOBAR1	0.192	0.046	0.280	0.026	0.009	0.011	0.000
AUTOBAR2	0.223	-50.868	113.432	0.025	0.009	0.010	0.000
AUTOBAR3	0.009	-0.091	178.171	0.025	0.009	0.010	0.000
AUTOBAR4	0.217	50.820	113.269	0.025	0.009	0.010	0.000
AUTOBAR5	12.256	-0.022	57.266	0.025	0.009	0.011	0.000
AUTOBAR6	-0.198	0.116	128.132	0.080	0.021	0.024	0.000
CODE1	-165.653	-1634.995	2212.019	0.051	0.029	0.028	0.000
CODE2	-175.147	-1656.990	1604.993	0.045	0.025	0.019	0.000
CODE3	-180.159	-1678.903	1009.625	0.045	0.025	0.014	0.000
CODE4	-188.033	-1711.119	403.161	0.045	0.025	0.013	0.000
CODE5	-198.721	-1749.657	-198.503	0.045	0.025	0.016	0.000
CODE6	-164.783	-1031.038	2179.956	0.032	0.013	0.018	0.000
CODE7	-163.449	-419.484	2159.719	0.032	0.011	0.018	0.000
CODE8	-163.177	167.777	2141.861	0.031	0.011	0.018	0.000
CODE9	-161.275	760.070	2126.502	0.033	0.013	0.019	0.000
CODE10	-158.777	1359.246	2104.222	0.033	0.016	0.019	0.000
CODE11	-156.098	1967.157	2078.272	0.044	0.031	0.024	0.000
CODE12	-172.039	-1039.857	1578.035	0.031	0.012	0.013	0.000
CODE13	-178.158	-1073.552	988.344	0.031	0.013	0.010	0.000
CODE14	-189.112	-1098.488	386.026	0.031	0.012	0.009	0.000
CODE15	-197.838	-1125.784	-224.005	0.030	0.012	0.012	0.000
CODE16	-171.653	-452.743	1557.360	0.029	0.010	0.012	0.000
CODE17	-177.666	-479.723	962.876	0.029	0.010	0.009	0.000
CODE18	-188.575	-495.709	347.686	0.028	0.010	0.010	0.000
CODE19	-198.455	-539.219	-259.546	0.028	0.010	0.012	0.000
CODE20	-171.265	131.931	1534.651	0.029	0.010	0.013	0.000
CODE21	-179.804	123.601	920.629	0.029	0.010	0.009	0.000
CODE22	-188.185	104.908	320.563	0.028	0.010	0.010	0.000
CODE23	-197.582	82.023	-290.707	0.056	0.017	0.018	0.000
CODE24	-168.685	736.988	1531.554	0.029	0.011	0.012	0.000
CODE25	-176.067	728.048	896.781	0.029	0.012	0.010	0.000
CODE26	-185.313	695.509	298.487	0.029	0.011	0.010	0.000
CODE27	-194.721	664.975	-321.921	0.028	0.010	0.012	0.000
CODE28	-167.102	1320.741	1517.693	0.031	0.014	0.013	0.000
CODE29	-174.499	1303.832	879.900	0.030	0.014	0.010	0.000
CODE30	-183.525	1301.416	273.290	0.030	0.014	0.010	0.000
CODE31	-193.161	1288.697	-350.634	0.031	0.014	0.013	0.000
CODE32	-164.970	1934.606	1490.428	0.039	0.025	0.016	0.000
CODE33	-171.748	1914.103	860.641	0.039	0.024	0.012	0.000
CODE34	-182.083	1897.768	255.706	0.039	0.024	0.013	0.000
CODE35	-191.330	1879.901	-379.012	0.041	0.027	0.017	0.000
TARGET1	-180.102	-885.563	769.192	0.029	0.011	0.009	0.000
TARGET2	-185.122	309.571	513.440	0.029	0.010	0.009	0.000
TARGET3	-183.593	1499.961	263.772	0.031	0.015	0.010	0.000
TARGET4	-180.435	-1079.504	779.967	0.031	0.013	0.009	0.000
TARGET5	-185.709	112.120	523.309	0.028	0.010	0.009	0.000
TARGET6	-184.407	1107.278	284.504	0.029	0.013	0.010	0.000
TARGET7	-182.236	-1267.208	786.009	0.033	0.014	0.010	0.000
TARGET8	-185.805	-94.514	530.621	0.028	0.010	0.009	0.000
TARGET9	-184.061	902.638	295.149	0.029	0.012	0.010	0.000
TARGET10	-181.799	-1465.799	796.872	0.038	0.018	0.011	0.000
TARGET11	-185.240	-293.428	538.779	0.028	0.010	0.009	0.000
TARGET12	-183.165	-1683.792	805.954	0.042	0.021	0.012	0.000
TARGET13	-184.083	-492.918	546.050	0.029	0.010	0.009	0.000
TARGET14	-186.662	506.405	305.971	0.029	0.010	0.010	0.000
TARGET15	-184.293	-692.476	555.175	0.029	0.011	0.009	0.000
TARGET16	-188.496	302.671	316.394	0.028	0.010	0.010	0.000
TARGET17	-186.075	1301.545	79.729	0.030	0.014	0.010	0.000
TARGET18	-184.214	-896.287	569.758	0.029	0.011	0.009	0.000
TARGET19	-185.250	-1094.944	589.919	0.031	0.013	0.009	0.000
TARGET20	-187.454	1107.370	86.328	0.029	0.012	0.010	0.000
TARGET21	-189.104	-95.574	334.955	0.028	0.010	0.010	0.000
TARGET22	-186.010	-1279.165	597.569	0.033	0.014	0.010	0.000
TARGET23	-187.153	901.233	90.245	0.029	0.012	0.010	0.000
TARGET24	-188.729	-303.028	345.939	0.028	0.010	0.010	0.000
TARGET25	-188.114	686.258	101.617	0.029	0.011	0.010	0.000
